市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計
千代田区神田松永町,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,15
千代田区神田花岡町,35,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,3,0,0,0,0,0,1,5,16,6,2,0,1,0,3,47
千代田区神田佐久間河岸,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
千代田区神田練塀町,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,1,0,1,1,9,2,0,0,0,0,2,21
千代田区神田相生町,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,1,1,2,1,0,0,0,0,1,8
千代田区以下不詳,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2
中央区銀座１丁目,58,0,0,0,4,0,0,0,2,2,11,0,0,0,11,0,0,0,0,27,0,0,12,1,0,0,0,0,0,1,13,16,5,1,2,0,8,96
中央区銀座２丁目,24,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,1,6,8,5,1,0,0,0,4,32
中央区銀座３丁目,64,1,0,1,3,0,1,2,0,0,2,0,0,0,2,0,0,0,0,51,0,0,0,3,0,0,1,0,0,38,9,7,2,1,2,0,2,89
中央区銀座４丁目,96,0,0,0,12,0,9,2,1,0,6,0,0,0,6,0,0,0,0,68,0,0,5,0,0,0,3,0,0,48,12,10,5,1,2,0,2,156
中央区銀座５丁目,48,0,0,0,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,2,0,0,0,1,0,0,15,13,10,5,2,0,0,3,76
中央区銀座６丁目,62,1,0,1,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,43,0,0,2,0,0,0,0,0,2,25,14,14,2,2,2,0,8,85
中央区銀座７丁目,48,0,0,0,8,0,5,3,0,0,1,0,0,0,1,0,0,0,0,29,0,0,5,0,0,0,0,0,2,7,15,10,2,1,0,0,7,82
中央区銀座８丁目,61,0,0,0,16,0,6,9,1,0,4,0,0,0,4,0,0,0,0,33,0,0,11,1,1,0,1,0,0,5,14,8,4,1,0,0,3,133
中央区新富１丁目,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,2,0,0,0,1,10
中央区新富２丁目,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7
中央区入船１丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
中央区入船２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
中央区入船３丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
中央区湊１丁目,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,7
中央区湊２丁目,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,6
中央区湊３丁目,11,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,5,2,1,0,0,2,23
中央区明石町,12,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,3,3,2,0,0,0,1,20
中央区築地１丁目,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
中央区築地２丁目,14,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,4,1,0,0,0,1,0,1,2,2,0,0,1,0,1,26
中央区築地３丁目,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,11
中央区築地４丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,1,3,1,1,0,0,1,7
中央区築地５丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,1,5
中央区築地６丁目,9,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,1,3,1,0,0,0,2,17
中央区築地７丁目,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,3,2,6,3,0,0,0,3,18
中央区八丁堀１丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3
中央区八丁堀２丁目,10,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,0,1,22
